Year,Pick,Team,Player,Position
1998,12,ORL,Michael Doleac,Center
1998,13,ORL,Keon Clark,Center
1998,14,HOU,Michael Dickerson,Shooting
1998,15,ORL,Matt Harpring,Small
1998,16,HOU,Bryce Drew,Point
1998,17,MIN,Rasho Nesterović,Center
1998,18,HOU,Mirsad Türkcan,Power
1998,19,MIL,Pat Garrity,Power
1998,20,ATL,Roshown McLeod,Small
1998,21,CHH,Ricky Davis,Shooting
1998,22,LAC,Brian Skinner,Power
1998,23,DEN,Tyronn Lue,Point
1998,24,SAS,Felipe López,Shooting
1998,25,IND,Al Harrington,Power
1998,26,LAL,Sam Jacobson,Point
1998,27,SEA,Vladimir Stepania,Center
1998,28,CHI,Corey Benjamin,Shooting
1998,29,UTA,Nazr Mohammed,Center
1998,30,DAL,Ansu Sesay,Small
1998,31,LAL,Ruben Patterson,Small
1998,32,SEA,Rashard Lewis,Small
1998,33,SEA,Jelani McCoy,Center
1998,34,CHI,Shammond Williams,Point
1998,35,DAL,Bruno Šundov,Center
1998,36,SAC,Jerome James,Center
1998,37,PHI,Casey Shaw,Center
1998,38,NYK,DeMarco Johnson,Power
1998,39,MIL,Rafer Alston,Point
1998,40,DET,Korleone Young,Small
1998,41,HOU,Cuttino Mobley,Shooting
1998,42,ORL,Miles Simon,Shooting
1998,43,WAS,Jahidi White,Center
1998,44,NYK,Sean Marks,Power
1998,45,LAL,Toby Bailey,Shooting
1998,46,MIN,Andrae Patterson,Power
1998,47,TOR,Tyson Wheeler,Point
1998,48,CLE,Ryan Stack,Power
1998,49,ATL,Cory Carr,Shooting
1998,50,CHH,Andrew Betts,Unknown
1998,51,MIA,Corey Brewer,Unknown
1998,52,SAS,Derrick Dial,Shooting
1998,53,DAL,Greg Buckner,Shooting
1998,54,DEN,Tremaine Fowlkes,Small
1998,55,DEN,Ryan Bowen,Small
1998,56,VAN,J.R. Henderson,Small
1998,57,UTA,Torraye Braggs,Power
1998,58,CHI,Maceo Baston,Power
1999,1,CHI,Elton Brand,Power
1999,2,VAN,Steve Francis,Point
1999,3,CHH,Baron Davis,Point
1999,4,LAC,Lamar Odom,Power
1999,5,TOR,Jonathan Bender,Small
1999,6,MIN,Wally Szczerbiak,Small
1999,7,WAS,Richard Hamilton,Shooting
1999,8,CLE,Andre Miller,Point
1999,9,PHO,Shawn Marion,Small
1999,10,ATL,Jason Terry,Shooting
1999,11,CLE,Trajan Langdon,Shooting
1999,12,TOR,Aleksandar Radojević,Center
1999,13,SEA,Corey Maggette,Small
1999,14,MIN,William Avery,Point
1999,15,NYK,Frederic Weis,Unknown
1999,16,CHI,Metta World Peace,Small
1999,17,ATL,Cal Bowdler,Small
1999,18,DEN,James Posey,Small
1999,19,UTA,Quincy Lewis,Shooting
1999,20,ATL,Dion Glover,Shooting
1999,21,GSW,Jeff Foster,Center
1999,22,HOU,Kenny Thomas,Power
1999,23,LAL,Devean George,Small
1999,24,UTA,Andrei Kirilenko,Small
1999,25,MIA,Tim James,Small
1999,26,IND,Vonteego Cummings,Point
1999,27,ATL,Jumaine Jones,Small
1999,28,UTA,Scott Padgett,Power
1999,29,SAS,Leon Smith,Center
1999,30,LAL,John Celestand,Point
1999,31,LAC,Rico Hill,Unknown
1999,32,CHI,Michael Ruffin,Power
1999,33,DEN,Chris Herren,Point
1999,34,NJN,Evan Eschmeyer,Center
1999,35,WAS,Calvin Booth,Center
1999,36,DAL,Wang Zhizhi,Center
1999,37,VAN,Obinna Ekezie,Power
1999,38,ORL,Laron Profit,Shooting
1999,39,CLE,A.J. Bramlett,Center
1999,40,DAL,Gordan Giriček,Shooting
1999,41,DEN,Francisco Elson,Center
1999,42,MIN,Louis Bullock,Unknown
1999,43,CHH,Lee Nailon,Small
1999,44,HOU,Tyrone Washington,Unknown
1999,45,SAC,Ryan Robertson,Shooting
1999,46,NYK,J.R. Koch,Unknown
1999,47,PHI,Todd MacCulloch,Center
1999,48,MIL,Galen Young,Unknown
1999,49,CHI,Lari Ketner,Power
1999,50,HOU,Venson Hamilton,Center
1999,51,VAN,Antwain Smith,Unknown
1999,52,POR,Roberto Bergersen,Unknown
1999,53,MIA,Rodney Buford,Small
1999,54,DET,Melvin Levett,Unknown
1999,55,BOS,Kris Clack,Unknown
1999,56,GSW,Tim Young,Center
1999,57,SAS,Manu Ginóbili,Shooting
1999,58,UTA,Eddie Lucas,Unknown
2000,1,NJN,Kenyon Martin,Power
2000,2,VAN,Stromile Swift,Power
2000,3,LAC,Darius Miles,Small
2000,4,CHI,Marcus Fizer,Power
2000,5,ORL,Mike Miller,Small
2000,6,ATL,DerMarr Johnson,Small
2000,7,CHI,Chris Mihm,Center
2000,8,CLE,Jamal Crawford,Shooting
2000,9,HOU,Joel Przybilla,Center
2000,10,ORL,Keyon Dooling,Point
2000,11,BOS,Jérôme Moïso,Center
2000,12,DAL,Etan Thomas,Center
2000,13,ORL,Courtney Alexander,Point
2000,14,DET,Mateen Cleaves,Point
2000,15,MIL,Jason Collier,Center
2000,16,SAC,Hedo Türkoğlu,Small
2000,17,SEA,Desmond Mason,Small
2000,18,LAC,Quentin Richardson,Small
2000,19,CHH,Jamaal Magloire,Center
2000,20,PHI,Speedy Claxton,Point
2000,21,TOR,Morris Peterson,Shooting
2000,22,NYK,Donnell Harvey,Power
2000,23,UTA,DeShawn Stevenson,Shooting
2000,24,CHI,Dalibor Bagarić,Center
2000,25,PHO,Jake Tsakalidis,Center
2000,26,DEN,Mamadou N'Diaye,Center
2000,27,IND,Primož Brezec,Center
2000,28,POR,Erick Barkley,Point
2000,29,LAL,Mark Madsen,Center
2000,30,LAC,Marko Jarić,Shooting
2000,31,DAL,Dan Langhi,Small
2000,32,CHI,A.J. Guyton,Point
2000,33,CHI,Jake Voskuhl,Center
2000,34,CHI,Khalid El-Amin,Point
2000,35,WAS,Mike Smith,Small
2000,36,NJN,Soumaila Samake,Center
2000,37,MIA,Eddie House,Shooting
2000,38,HOU,Eduardo Nájera,Power
2000,39,NYK,Lavor Postell,Shooting
2000,40,ATL,Hanno Möttölä,Small
2000,41,SAS,Chris Carrawell,Unknown
2000,42,SEA,Olumide Oyedeji,Center
2000,43,MIL,Michael Redd,Shooting
2000,44,DET,Brian Cardinal,Power
2000,45,SAC,Jabari Smith,Center
2000,46,TOR,DeeAndre Hulett,Unknown
2000,47,SEA,Josip Sesar,Unknown
2000,48,PHI,Mark Karcher,Unknown
2000,49,MIL,Jason Hart,Point
2000,50,UTA,Kaniel Dickens,Power
2000,51,MIN,Igor Rakočević,Point
2000,52,MIA,Ernest Brown,Center
